case_id,blind_label,condition,participant_id,date,calendar_action,burden,adherence_probability,followed
S001,A,calendar_only,P001,2026-03-10,keep,low,0.85,True
S001,B,behavior_aware,P001,2026-03-10,protect_sleep,medium,0.45,True
S002,A,calendar_only,P001,2026-03-11,add_buffer,low,0.75,True
S002,B,behavior_aware,P001,2026-03-11,reduce_evening_load,medium,0.4,False
S003,A,calendar_only,P001,2026-03-12,add_buffer,low,0.75,True
S003,B,behavior_aware,P001,2026-03-12,move_to_daytime,medium,0.45,False
S004,A,calendar_only,P002,2026-03-10,add_buffer,low,0.95,True
S004,B,behavior_aware,P002,2026-03-10,suggest_break,low,0.95,True
S005,A,behavior_aware,P002,2026-03-11,reschedule,low,0.8,True
S005,B,calendar_only,P002,2026-03-11,keep,low,0.95,True
S006,A,calendar_only,P002,2026-03-12,add_buffer,low,0.95,True
S006,B,behavior_aware,P002,2026-03-12,suggest_break,low,0.95,True
S007,A,behavior_aware,P003,2026-03-10,protect_sleep,low,0.65,True
S007,B,calendar_only,P003,2026-03-10,add_buffer,low,0.75,False
S008,A,behavior_aware,P003,2026-03-11,reduce_evening_load,low,0.6,False
S008,B,calendar_only,P003,2026-03-11,add_buffer,low,0.75,True
S009,A,calendar_only,P003,2026-03-12,keep,low,0.85,False
S009,B,behavior_aware,P003,2026-03-12,protect_sleep,low,0.65,True
S010,A,behavior_aware,P004,2026-03-10,add_buffer,medium,0.3,False
S010,B,calendar_only,P004,2026-03-10,keep,low,0.6,False
S011,A,calendar_only,P004,2026-03-11,add_buffer,low,0.5,False
S011,B,behavior_aware,P004,2026-03-11,reschedule,medium,0.1,False
S012,A,calendar_only,P004,2026-03-12,add_buffer,low,0.5,True
S012,B,behavior_aware,P004,2026-03-12,reschedule,low,0.3,False
S013,A,calendar_only,P005,2026-03-10,add_buffer,low,0.75,True
S013,B,behavior_aware,P005,2026-03-10,move_to_daytime,medium,0.45,False
S014,A,calendar_only,P005,2026-03-11,keep,low,0.85,True
S014,B,behavior_aware,P005,2026-03-11,protect_sleep,medium,0.45,True
S015,A,behavior_aware,P005,2026-03-12,reduce_evening_load,medium,0.4,True
S015,B,calendar_only,P005,2026-03-12,add_buffer,low,0.75,False
S016,A,behavior_aware,P006,2026-03-10,reduce_evening_load,medium,0.4,True
S016,B,calendar_only,P006,2026-03-10,add_buffer,low,0.75,True
S017,A,behavior_aware,P006,2026-03-11,move_to_daytime,medium,0.45,True
S017,B,calendar_only,P006,2026-03-11,add_buffer,low,0.75,True
S018,A,calendar_only,P006,2026-03-12,keep,low,0.85,True
S018,B,behavior_aware,P006,2026-03-12,protect_sleep,medium,0.45,False
S019,A,behavior_aware,P007,2026-03-10,reschedule,low,0.8,False
S019,B,calendar_only,P007,2026-03-10,keep,low,0.95,True
S020,A,calendar_only,P007,2026-03-11,add_buffer,low,0.95,True
S020,B,behavior_aware,P007,2026-03-11,suggest_break,low,0.95,True
S021,A,behavior_aware,P007,2026-03-12,suggest_break,low,0.95,True
S021,B,calendar_only,P007,2026-03-12,add_buffer,low,0.95,True
S022,A,calendar_only,P008,2026-03-10,add_buffer,low,0.75,True
S022,B,behavior_aware,P008,2026-03-10,reduce_evening_load,low,0.6,True
S023,A,behavior_aware,P008,2026-03-11,protect_sleep,low,0.65,True
S023,B,calendar_only,P008,2026-03-11,keep,low,0.85,True
S024,A,calendar_only,P008,2026-03-12,add_buffer,low,0.75,True
