case_id,option,condition,participant_id,date
S001,A,full_system_layer4,P001,2026-03-10
S001,B,calendar_only_baseline,P001,2026-03-10
S002,A,full_system_layer4,P001,2026-03-11
S002,B,calendar_only_baseline,P001,2026-03-11
S003,A,calendar_only_baseline,P001,2026-03-12
S003,B,full_system_layer4,P001,2026-03-12
S004,A,full_system_layer4,P002,2026-03-10
S004,B,calendar_only_baseline,P002,2026-03-10
S005,A,calendar_only_baseline,P002,2026-03-11
S005,B,full_system_layer4,P002,2026-03-11
S006,A,full_system_layer4,P002,2026-03-12
S006,B,calendar_only_baseline,P002,2026-03-12
S007,A,calendar_only_baseline,P003,2026-03-10
S007,B,full_system_layer4,P003,2026-03-10
S008,A,full_system_layer4,P003,2026-03-11
S008,B,calendar_only_baseline,P003,2026-03-11
S009,A,calendar_only_baseline,P003,2026-03-12
S009,B,full_system_layer4,P003,2026-03-12
S010,A,full_system_layer4,P004,2026-03-10
S010,B,calendar_only_baseline,P004,2026-03-10
S011,A,full_system_layer4,P004,2026-03-11
S011,B,calendar_only_baseline,P004,2026-03-11
S012,A,full_system_layer4,P004,2026-03-12
S012,B,calendar_only_baseline,P004,2026-03-12
S013,A,calendar_only_baseline,P005,2026-03-10
S013,B,full_system_layer4,P005,2026-03-10
S014,A,calendar_only_baseline,P005,2026-03-11
S014,B,full_system_layer4,P005,2026-03-11
S015,A,calendar_only_baseline,P005,2026-03-12
S015,B,full_system_layer4,P005,2026-03-12
S016,A,calendar_only_baseline,P006,2026-03-10
S016,B,full_system_layer4,P006,2026-03-10
S017,A,calendar_only_baseline,P006,2026-03-11
S017,B,full_system_layer4,P006,2026-03-11
S018,A,full_system_layer4,P006,2026-03-12
S018,B,calendar_only_baseline,P006,2026-03-12
S019,A,calendar_only_baseline,P007,2026-03-10
S019,B,full_system_layer4,P007,2026-03-10
S020,A,full_system_layer4,P007,2026-03-11
S020,B,calendar_only_baseline,P007,2026-03-11
S021,A,full_system_layer4,P007,2026-03-12
S021,B,calendar_only_baseline,P007,2026-03-12
S022,A,calendar_only_baseline,P008,2026-03-10
S022,B,full_system_layer4,P008,2026-03-10
S023,A,full_system_layer4,P008,2026-03-11
S023,B,calendar_only_baseline,P008,2026-03-11
S024,A,calendar_only_baseline,P008,2026-03-12
S024,B,full_system_layer4,P008,2026-03-12
S025,A,calendar_only_baseline,P009,2026-03-10
S025,B,full_system_layer4,P009,2026-03-10
S026,A,calendar_only_baseline,P009,2026-03-11
S026,B,full_system_layer4,P009,2026-03-11
S027,A,calendar_only_baseline,P009,2026-03-12
S027,B,full_system_layer4,P009,2026-03-12
S028,A,full_system_layer4,P010,2026-03-11
S028,B,calendar_only_baseline,P010,2026-03-11
S029,A,full_system_layer4,P010,2026-03-12
S029,B,calendar_only_baseline,P010,2026-03-12
S030,A,full_system_layer4,P010,2026-03-13
S030,B,calendar_only_baseline,P010,2026-03-13
S031,A,calendar_only_baseline,P011,2026-03-10
S031,B,full_system_layer4,P011,2026-03-10
S032,A,full_system_layer4,P011,2026-03-11
S032,B,calendar_only_baseline,P011,2026-03-11
S033,A,full_system_layer4,P011,2026-03-12
S033,B,calendar_only_baseline,P011,2026-03-12
S034,A,full_system_layer4,P012,2026-03-10
S034,B,calendar_only_baseline,P012,2026-03-10
S035,A,calendar_only_baseline,P012,2026-03-11
S035,B,full_system_layer4,P012,2026-03-11
S036,A,full_system_layer4,P012,2026-03-12
S036,B,calendar_only_baseline,P012,2026-03-12
S037,A,calendar_only_baseline,P013,2026-03-10
S037,B,full_system_layer4,P013,2026-03-10
S038,A,full_system_layer4,P013,2026-03-11
S038,B,calendar_only_baseline,P013,2026-03-11
S039,A,calendar_only_baseline,P013,2026-03-12
S039,B,full_system_layer4,P013,2026-03-12
S040,A,full_system_layer4,P014,2026-03-10
S040,B,calendar_only_baseline,P014,2026-03-10
S041,A,calendar_only_baseline,P014,2026-03-11
S041,B,full_system_layer4,P014,2026-03-11
S042,A,full_system_layer4,P014,2026-03-12
S042,B,calendar_only_baseline,P014,2026-03-12
S043,A,calendar_only_baseline,P015,2026-03-10
S043,B,full_system_layer4,P015,2026-03-10
S044,A,calendar_only_baseline,P015,2026-03-11
S044,B,full_system_layer4,P015,2026-03-11
S045,A,calendar_only_baseline,P015,2026-03-12
S045,B,full_system_layer4,P015,2026-03-12
S046,A,calendar_only_baseline,P016,2026-03-10
S046,B,full_system_layer4,P016,2026-03-10
S047,A,full_system_layer4,P016,2026-03-11
S047,B,calendar_only_baseline,P016,2026-03-11
S048,A,full_system_layer4,P016,2026-03-12
S048,B,calendar_only_baseline,P016,2026-03-12
S049,A,full_system_layer4,P017,2026-03-10
S049,B,calendar_only_baseline,P017,2026-03-10
S050,A,full_system_layer4,P017,2026-03-11
S050,B,calendar_only_baseline,P017,2026-03-11
S051,A,calendar_only_baseline,P017,2026-03-12
S051,B,full_system_layer4,P017,2026-03-12
S052,A,calendar_only_baseline,P018,2026-03-10
S052,B,full_system_layer4,P018,2026-03-10
S053,A,full_system_layer4,P018,2026-03-11
S053,B,calendar_only_baseline,P018,2026-03-11
S054,A,calendar_only_baseline,P018,2026-03-12
S054,B,full_system_layer4,P018,2026-03-12
S055,A,calendar_only_baseline,P019,2026-03-10
S055,B,full_system_layer4,P019,2026-03-10
S056,A,full_system_layer4,P019,2026-03-11
S056,B,calendar_only_baseline,P019,2026-03-11
S057,A,calendar_only_baseline,P019,2026-03-12
S057,B,full_system_layer4,P019,2026-03-12
S058,A,full_system_layer4,P020,2026-03-10
S058,B,calendar_only_baseline,P020,2026-03-10
S059,A,calendar_only_baseline,P020,2026-03-11
S059,B,full_system_layer4,P020,2026-03-11
S060,A,full_system_layer4,P020,2026-03-12
S060,B,calendar_only_baseline,P020,2026-03-12
