case_id,option,participant_id,date,calendar_summary,inferred_state_for_context,recommendation,reason,grounded_in,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
P001-D29,A,P001,2026-03-30,2026-03-30 20:30 study block (flexible); 2026-03-31 09:00 class (fixed); 2026-03-31 19:00 study block (flexible); 2026-04-01 10:30 class (fixed); 2026-04-01 18:00 workout (flexible); 2026-04-01 19:30 social plan (flexible); 2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=['total_screen_min up mild (intermittent-2d-of-3)']; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"1. Add a 15-minute 'screens off / wind-down' reminder block at 22:00 on the next evening that ends with a late study block (e.g., 2026-04-03, after the 20:30–22:00 study block) Rationale: Screen time has been running ~40 min above baseline on recent evenings. Several calendar days end with study blocks at 22:00, which creates a natural risk point for screen use extending later. A brief wind-down placeholder at 22:00 serves as a soft boundary without moving any fixed event or significantly restructuring the schedule. Grounded in: total_screen_min","There is only one deviation present: a mild, intermittent 14% elevation in total screen time over 2 of the last 3 days. This is a single-marker signal of modest magnitude. Sleep coverage is flagged as low, so no sleep-related pattern can be confirmed. No other markers (mobility, app-switching, social reciprocity, etc.) are available to form a coherent multi-signal pattern. The user's preference is for minimal-burden changes and no action without a clear behavioral signal. Given that the deviation is mild, intermittent, and unsupported by corroborating markers, the bar for a calendar intervention is not met. The most useful action is a light, non-intrusive nudge on an evening already scheduled late — specifically the 20:30–22:00 study block on 2026-03-30 or the 20:30–22:00 study block on 2026-04-03 (which follows a 16:00–20:00 work shift, making late screen use more likely). A single gentle wind-down reminder is proportionate; more would be padding.",total_screen_min,Fixed events were labeled protected; flexible events were labeled movable.,3,4,4,5,4,A
P001-D29,B,P001,2026-03-30,2026-03-30 20:30 study block (flexible); 2026-03-31 09:00 class (fixed); 2026-03-31 19:00 study block (flexible); 2026-04-01 10:30 class (fixed); 2026-04-01 18:00 workout (flexible); 2026-04-01 19:30 social plan (flexible); 2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=['total_screen_min up mild (intermittent-2d-of-3)']; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"1. Shift the Apr 3 study block from 20:30–22:00 to 13:30–15:00, placing it in the free midday window before errands and well before the 16:00 work shift. Rationale: The current 20:30 start time collides with the end of the 16:00–20:00 work shift, making the block effectively unreachable without a zero-minute transition. Moving it to 13:30–15:00 preserves the study time, keeps a buffer before errands (12:00–13:00), and leaves the post-shift evening free — reducing the risk of a fatiguing back-to-back sequence on an already high-burden day. Grounded in: P001-D33-E01, P001-D33-E02","No behavioral deviations or passive sensor data are available — this is a calendar-only arm. Reasoning is therefore limited to structural observations about the schedule itself. The most notable structural feature is the cluster of high-burden work shifts on Apr 2, 3, and 4 (each rated 2.0), two of which end at 22:00, followed immediately by study blocks on Apr 3 (20:30–22:00, overlapping the work shift end) and Apr 4 (15:30–17:00, before the shift). The Apr 3 study block (20:30–22:00) is scheduled to begin at the exact moment the work shift ends (20:00), which is likely unrealistic and creates a back-to-back high-burden sequence. Apr 4 has a study block before an evening work shift, which is structurally manageable. Apr 5 (Saturday) has only a single study block with no other commitments — a natural recovery window. Without behavioral signals, the user's preferences call for minimal intervention: at most one flexible event change, and no change if there is no clear signal. The one concrete structural conflict (Apr 3 study block abutting work shift end) is the only calendar-grounded reason to act.","P001-D33-E01, P001-D33-E02",Fixed events were labeled protected; flexible events were labeled movable.,4,2,4,5,4,A
P001-D30,A,P001,2026-03-31,2026-03-31 09:00 class (fixed); 2026-03-31 19:00 study block (flexible); 2026-04-01 10:30 class (fixed); 2026-04-01 18:00 workout (flexible); 2026-04-01 19:30 social plan (flexible); 2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=[]; coverage_notes=[],"1. Consider shifting the April 6 study block (20:30–22:00) earlier, e.g. to 14:00–15:30, to avoid late-evening cognitive load on a day that already includes a workout and an optional work session Rationale: The April 6 calendar stacks workout (17:00), optional work session (18:30–20:00), and study block (20:30–22:00) back-to-back into the evening. While no behavioral deviation currently flags this as problematic, front-loading the study block earlier in the afternoon would reduce late-evening burden and leave a natural wind-down window — a low-cost structural improvement consistent with the user's minimal-burden preference. Grounded in: calendar_structure_april_6","There are no behavioral deviations from baseline and no coherent patterns detected. The user has 30 days of history at medium confidence, so the baseline is reasonably established. Looking at the calendar itself, the main structural observation is that on April 3 and April 6 study blocks are scheduled at 20:30–22:00, immediately after or late in the evening following work shifts or other activity — these are calendar-visible load concentrations, not behavioral signals. Since the system prompt instructs no calendar action without a clear behavioral signal, and none exists here, only a light structural nudge is warranted at most. No deviations, no patterns, no rejected suggestions in recent feedback.",calendar_structure_april_6,Fixed events were labeled protected; flexible events were labeled movable.,3,3,4,5,3,B
P001-D30,B,P001,2026-03-31,2026-03-31 09:00 class (fixed); 2026-03-31 19:00 study block (flexible); 2026-04-01 10:30 class (fixed); 2026-04-01 18:00 workout (flexible); 2026-04-01 19:30 social plan (flexible); 2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=[]; coverage_notes=[],"1. Shift the Thursday 2026-04-03 study block from 20:30–22:00 to 13:00–14:30, placing it in the open midday window before the work shift rather than immediately after it. Rationale: The current placement stacks a 1.1-burden study block directly onto the tail of a 2.0-burden 4-hour work shift, leaving no recovery gap before a late-evening end. Moving it to the free 13:00–14:30 slot (after errands end at 13:00, so 13:30–15:00 would also work) separates the two high-burden blocks and avoids cognitive work past 22:00 on a heavy day. This is a single flexible-event move consistent with the minimal-burden-change preference. Grounded in: P001-D33-E02, P001-D33-E01","No behavioral deviations or passive sensor data are available — this is a calendar-only arm. Reasoning is limited to structural observations about the schedule itself. The most notable structural feature is the study block on 2026-04-03 (Thursday) scheduled 20:30–22:00 immediately after a 16:00–20:00 work shift, creating a back-to-back high-burden evening with no recovery gap. Similarly, on 2026-04-06 (Sunday) a study block runs 20:30–22:00 after a workout and an optional work session, pushing cognitive load late into the evening. These are calendar-structure concerns, not behavioral signals, so the preference for minimal-burden change and the absence of behavioral evidence both counsel restraint — at most one light adjustment.","P001-D33-E01, P001-D33-E02",Fixed events were labeled protected; flexible events were labeled movable.,4,3,4,5,4,B
P001-D31,A,P001,2026-04-01,2026-04-01 10:30 class (fixed); 2026-04-01 18:00 workout (flexible); 2026-04-01 19:30 social plan (flexible); 2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible); 2026-04-07 10:30 class (fixed); 2026-04-07 18:30 optional work session (flexible); 2026-04-07 20:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=['comm_reciprocity down mild (intermittent-2d-of-3)']; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"1. Protect the existing 'social plan' block (Apr 1, 19:30–21:30) — mark it as a priority and avoid scheduling anything that would crowd it out this evening. Rationale: Messaging reciprocity has been mildly lower than baseline over recent days. The social plan already on the calendar is a low-effort way to support in-person connection without adding burden. No new event is needed; simply preserving this one is the minimal-burden action. Grounded in: comm_reciprocity","There is only one deviation present: comm_reciprocity is mildly down over 2 of the last 3 days, meaning the user is replying less than usual relative to incoming messages. This is a single-marker, mild, intermittent signal with medium coverage and medium overall confidence. It does not pair with any other deviation (no mobility, sleep, or app-switching data) that would form a coherent pattern. The calendar already includes a social plan tonight (Apr 1, 19:30–21:30), which is a natural opportunity for in-person reciprocity. Given the user's preference for minimal-burden changes and the absence of a multi-signal pattern, no calendar restructuring is warranted. A single light nudge — protecting the existing social plan — is the most proportionate response.",comm_reciprocity,Fixed events were labeled protected; flexible events were labeled movable.,4,4,5,5,3,A
P001-D31,B,P001,2026-04-01,2026-04-01 10:30 class (fixed); 2026-04-01 18:00 workout (flexible); 2026-04-01 19:30 social plan (flexible); 2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible); 2026-04-07 10:30 class (fixed); 2026-04-07 18:30 optional work session (flexible); 2026-04-07 20:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=['comm_reciprocity down mild (intermittent-2d-of-3)']; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"1. Consider shifting the Apr 3 study block (20:30–22:00) to the Apr 5 afternoon slot (e.g., 15:30–17:00), which is currently light, to avoid stacking cognitive work immediately after the 16:00–20:00 work shift. Rationale: The Apr 3 schedule places a 1.5-hour study block starting 30 minutes after a 4-hour work shift ends, creating a continuous high-burden run from 16:00 to 22:00. Apr 5 has only one flexible event and a lower total burden, making it a structurally better fit for that study block. This is a single flexible-event move consistent with the minimal-burden preference. Grounded in: P001-D33-E01, P001-D33-E02, P001-D35-E01","No behavioral state, deviations, or passive sensor data are provided — this is a calendar-only arm. Reasoning is limited to structural observations about the schedule itself. The week is moderately loaded: three evening work shifts (ending at 22:00 on Apr 2, Apr 4) are followed or preceded by study blocks, and on Apr 3 a study block runs 20:30–22:00 immediately after a work shift ending at 20:00. That back-to-back on Apr 3 is the one structural friction point worth flagging. Apr 5 is notably light (one study block), which is a natural recovery window. The optional work sessions on Apr 6 and Apr 7 add discretionary burden on what appear to be weekend/end-of-week days. Without behavioral signals, no pattern-based intervention is warranted; the scheduler preference explicitly calls for minimal change and no action absent a clear behavioral signal.","P001-D33-E01, P001-D33-E02, P001-D35-E01",Fixed events were labeled protected; flexible events were labeled movable.,3,2,4,5,4,A
P001-D32,A,P001,2026-04-02,2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible); 2026-04-07 10:30 class (fixed); 2026-04-07 18:30 optional work session (flexible); 2026-04-07 20:30 study block (flexible); 2026-04-08 10:30 class (fixed); 2026-04-08 15:30 required meeting (fixed); 2026-04-08 18:00 work shift (fixed),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=[]; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"Questions: Your sleep regularity data has limited coverage this week — are you finding it easy to wind down after your late work shifts (ending at 22:00), or would it help to protect some buffer time before bed on those nights?","There are zero behavioral deviations from baseline and no coherent patterns detected. The user has 32 days of history at medium confidence, which is sufficient for personalized recommendations, but there is simply nothing anomalous to act on. The calendar for the coming week is moderately loaded — several late work shifts ending at 22:00, study blocks sometimes scheduled after those shifts (e.g., Apr 3 study block 20:30–22:00 immediately after a 16:00–20:00 work shift, and Apr 6–7 study blocks at 20:30–22:00 alongside optional work sessions), and sleep-regularity coverage is flagged as low. Given the user's stated preference for minimal-burden changes and the absence of any behavioral signal, no calendar changes are warranted. One light question is appropriate given the low sleep-regularity coverage.",,Fixed events were labeled protected; flexible events were labeled movable.,3,4,5,4,2,A
P001-D32,B,P001,2026-04-02,2026-04-02 07:00 workout (flexible); 2026-04-02 10:30 class (fixed); 2026-04-02 15:30 study block (flexible); 2026-04-02 18:00 work shift (fixed); 2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible); 2026-04-07 10:30 class (fixed); 2026-04-07 18:30 optional work session (flexible); 2026-04-07 20:30 study block (flexible); 2026-04-08 10:30 class (fixed); 2026-04-08 15:30 required meeting (fixed); 2026-04-08 18:00 work shift (fixed),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=[]; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"1. Consider shifting the Apr 3 study block (20:30–22:00) earlier to 13:30–15:00, using the free midday window, to avoid back-to-back cognitive load immediately after the 16:00–20:00 work shift. Rationale: On Apr 3, a study block is placed 30 minutes after a 4-hour work shift ends at 20:00, leaving minimal recovery time before a cognitively demanding task runs to 22:00. Moving it to the free 13:30–15:00 slot preserves the same study duration with better spacing. This is a single flexible-event modification consistent with the minimal-burden preference. Grounded in: P001-D33-E01, P001-D33-E02","No behavioral deviations or passive sensor data are available for this user — this is a calendar-only arm. There are no detected patterns to act on. Reviewing the calendar structurally: the week is moderately loaded with fixed work shifts ending at 22:00 on Apr 2, 4, and 8, and several study blocks scheduled at 20:30–22:00 on Apr 3, 6, and 7. On Apr 3, a study block is placed immediately after a 16:00–20:00 work shift (20:30–22:00), which is a tight back-to-back that may be difficult to sustain. On Apr 6, an optional work session (18:30–20:00) is followed by a study block (20:30–22:00), creating a similar late-evening cognitive load chain. On Apr 7, the same optional work session + late study block pattern repeats. These are structural observations from the calendar alone, not behavioral signals. Per the user's preference for minimal-burden change and no change absent a clear behavioral signal, only the most structurally notable item warrants a light nudge — the Apr 3 post-shift study block, which is the tightest transition. All other days are within normal load. No behavioral signal exists to justify further intervention.","P001-D33-E01, P001-D33-E02",Fixed events were labeled protected; flexible events were labeled movable.,4,3,4,5,4,A
P001-D33,A,P001,2026-04-03,2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible); 2026-04-07 10:30 class (fixed); 2026-04-07 18:30 optional work session (flexible); 2026-04-07 20:30 study block (flexible); 2026-04-08 10:30 class (fixed); 2026-04-08 15:30 required meeting (fixed); 2026-04-08 18:00 work shift (fixed); 2026-04-09 07:00 workout (flexible); 2026-04-09 11:00 required meeting (fixed); 2026-04-09 16:00 work shift (fixed); 2026-04-09 20:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=[]; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"Questions: Several evenings this week have study blocks scheduled until 22:00 directly after work shifts or optional work sessions. Is that timing working well for you, or would an earlier study window feel better on those days?","There are no behavioral deviations from the user's baseline and no coherent patterns to act on. The deviations list is empty, overall confidence is medium with 33 days of history, and sleep regularity coverage is flagged as low. The calendar for the coming week is moderately loaded — several late evening study blocks (ending at 22:00) follow work shifts or optional sessions on multiple days (Apr 3, Apr 6, Apr 7, Apr 9), which is worth noting as a structural observation from the calendar itself, but without any behavioral signal suggesting these are causing strain, no adjustment is warranted. The user's preference is explicitly for minimal-burden changes only when there is a clear behavioral signal. There is none here.",,Fixed events were labeled protected; flexible events were labeled movable.,3,4,5,5,3,A
P001-D33,B,P001,2026-04-03,2026-04-03 07:00 workout (flexible); 2026-04-03 12:00 errands (flexible); 2026-04-03 16:00 work shift (fixed); 2026-04-03 20:30 study block (flexible); 2026-04-04 15:30 study block (flexible); 2026-04-04 18:00 work shift (fixed); 2026-04-05 15:30 study block (flexible); 2026-04-06 17:00 workout (flexible); 2026-04-06 18:30 optional work session (flexible); 2026-04-06 20:30 study block (flexible); 2026-04-07 10:30 class (fixed); 2026-04-07 18:30 optional work session (flexible); 2026-04-07 20:30 study block (flexible); 2026-04-08 10:30 class (fixed); 2026-04-08 15:30 required meeting (fixed); 2026-04-08 18:00 work shift (fixed); 2026-04-09 07:00 workout (flexible); 2026-04-09 11:00 required meeting (fixed); 2026-04-09 16:00 work shift (fixed); 2026-04-09 20:30 study block (flexible),confidence=medium; Layer1-3 patterns=[]; Layer4 patterns=[]; deviations=[]; coverage_notes=['sleep/sleep_regularity_index: coverage low — LLM should discount claims in this area'],"Questions: Your study blocks on Apr 6, 7, and 9 all end at 22:00, sometimes right after a work shift or optional work session. Is that timing working well for you, or would you prefer them shifted earlier on any of those days?; Apr 8 is your most loaded day (class + required meeting + work shift until 22:00). Would you like a short buffer or wind-down block added after the work shift, or is the current layout intentional?","No behavioral deviations or passive sensor data are available — this is a calendar-only arm. There are no markers to group into patterns. Reasoning must rely solely on the calendar structure. Looking at the week: several days (Apr 6, Apr 7, Apr 9) carry late-evening study blocks ending at 22:00, sometimes following work shifts or optional work sessions that themselves end at 20:00. On Apr 8, the user has a class, a required meeting, and a work shift ending at 22:00 — the heaviest fixed-burden day of the week. No behavioral signal motivates intervention, and the user's stated preference is to make no change absent a clear behavioral signal. The calendar is busy but internally consistent, with flexible events already placed in reasonable gaps. There is nothing structurally alarming enough to warrant a modification under the minimal-burden rule.",,Fixed events were labeled protected; flexible events were labeled movable.,3,4,5,5,3,A
