participant_id,date,overall_confidence,pattern_names,n_deviations,n_patterns,state_bytes,raw_markers_bytes,raw_sensor_records_bytes,state_gzip_bytes,raw_markers_gzip_bytes,raw_sensor_records_gzip_bytes,raw_markers_to_state_ratio,raw_sensor_records_to_state_ratio
u00,2013-04-22,medium,circadian-instability,1,1,1163,682,863229,660,298,39306,0.586414445399828,742.2433361994841
u00,2013-04-23,medium,circadian-instability,1,1,1161,658,633398,666,306,30660,0.5667527993109388,545.5624461670973
u00,2013-04-24,medium,circadian-instability,1,1,1161,630,592811,666,279,27330,0.5426356589147286,510.60378983634797
u00,2013-04-29,medium,phone-mediated-sleep-delay,4,1,2364,670,632531,1044,292,30026,0.28341793570219964,267.5681049069374
u00,2013-04-30,medium,behavioral-withdrawal,2,1,1659,669,450980,827,290,24565,0.40325497287522605,271.83845690174803
u00,2013-05-01,medium,behavioral-withdrawal,4,1,2314,774,463127,1045,330,24225,0.334485738980121,200.14131374243735
u00,2013-05-02,medium,behavioral-withdrawal,4,1,2326,642,292375,1064,280,17006,0.2760103181427343,125.69862424763542
u00,2013-05-28,medium,behavioral-withdrawal,3,1,2431,643,981061,993,288,37594,0.26450020567667626,403.5627313862608
u00,2013-05-29,medium,behavioral-withdrawal,3,1,2253,662,308382,978,300,17849,0.29383044829116733,136.87616511318242
u01,2013-04-24,high,behavioral-withdrawal,4,1,2291,685,555242,1029,311,28697,0.29899607158446095,242.35792230467044
u01,2013-04-25,high,behavioral-withdrawal,4,1,2283,629,671418,996,291,30557,0.27551467367498905,294.0946123521682
u01,2013-04-27,high,behavioral-withdrawal,3,1,1937,657,652325,944,300,29675,0.33918430562725865,336.7707795560145
u01,2013-04-28,high,behavioral-withdrawal,3,1,1936,685,657756,941,311,29725,0.35382231404958675,339.75
u01,2013-04-30,high,behavioral-withdrawal,2,1,1586,656,673141,816,302,30683,0.4136191677175284,424.42686002522066
u01,2013-05-02,medium,circadian-instability,1,1,1168,680,658053,696,301,29967,0.5821917808219178,563.4015410958904
u01,2013-05-03,medium,circadian-instability,2,1,1550,652,681548,852,287,30422,0.4206451612903226,439.7083870967742
